settlement_id,transaction_id,settlement_date,settled_amount,settlement_status,bank_reference
SET1071,TXN1071,2026-08-21,4770,SETTLED,BNK1071
SET1093,TXN1093,2026-08-03,35600,SETTLED,BNK1093
SET1105,TXN1105,2026-07-29,3000,SETTLED,BNK1105
SET1073,TXN1073,2026-07-27,1750,SETTLED,BNK1073
SET1001,TXN1001,2026-07-03,2750,SETTLED,BNK1001
SET1097,TXN1097,2026-08-18,4890,SETTLED,BNK1097
SET1007,TXN1007,2026-08-31,6290,SETTLED,BNK1007
SET1068,TXN1068,2026-07-31,910,SETTLED,BNK1068
SET1124,TXN1124,2026-08-20,45810,SETTLED,BNK1124
SET1030,TXN1030,2026-07-27,3280,SETTLED,BNK1030
SET1051,TXN1051,2026-08-20,3830,SETTLED,BNK1051
SET1150,TXN1150,2026-07-10,5610,SETTLED,BNK1150
SET1162,TXN1162,2026-07-31,6000,SETTLED,BNK1162
SET1053,TXN1053,2026-08-21,1380,SETTLED,BNK1053
SET1061,TXN1061,2026-08-14,3600,SETTLED,BNK1061
SET1101,TXN1101,2026-07-20,12840,SETTLED,BNK1101
SET1136,TXN1136,2026-08-12,28370,SETTLED,BNK1136
SET1039,TXN1039,2026-08-08,4780,SETTLED,BNK1039
SET1131,TXN1131,2026-07-26,15270,SETTLED,BNK1131
SET1168,TXN1168,2026-07-25,1700,SETTLED,BNK1168
SET1054,TXN1054,2026-07-24,3000,SETTLED,BNK1054
SET1028,TXN1028,2026-08-17,8980,SETTLED,BNK1028
SET1115,TXN1115,2026-07-24,30520,SETTLED,BNK1115
SET1173,TXN1173,2026-08-25,6780,SETTLED,BNK1173
SET1109,TXN1109,2026-08-13,23760,SETTLED,BNK1109
SET1190,TXN1190,2026-07-27,9740,SETTLED,BNK1190
SET1064,TXN1064,2026-08-14,3240,SETTLED,BNK1064
SET1003,TXN1003,2026-07-04,41300,SETTLED,BNK1003
SET1015,TXN1015,2026-07-25,7270,SETTLED,BNK1015
SET1023,TXN1023,2026-08-31,37290,SETTLED,BNK1023
SET1033,TXN1033,2026-07-28,12890,SETTLED,BNK1033
SET1063,TXN1063,2026-07-30,35510,SETTLED,BNK1063
SET1041,TXN1041,2026-08-01,1320,SETTLED,BNK1041
SET1183,TXN1183,2026-08-03,5740,SETTLED,BNK1183
SET1060,TXN1060,2026-08-13,33190,SETTLED,BNK1060
SET1044,TXN1044,2026-08-30,19390,SETTLED,BNK1044
SET1147,TXN1147,2026-08-01,44540,SETTLED,BNK1147
SET1133,TXN1133,2026-07-12,2950,SETTLED,BNK1133
SET1148,TXN1148,2026-08-15,20820,SETTLED,BNK1148
SET1110,TXN1110,2026-07-07,7720,SETTLED,BNK1110
SET1029,TXN1029,2026-08-13,10800,SETTLED,BNK1029
SET1043,TXN1043,2026-08-16,46450,SETTLED,BNK1043
SET1075,TXN1075,2026-08-01,10760,SETTLED,BNK1075
SET1084,TXN1084,2026-08-30,14430,SETTLED,BNK1084
SET1090,TXN1090,2026-08-20,40000,SETTLED,BNK1090
SET1025,TXN1025,2026-07-09,8680,SETTLED,BNK1025
SET1059,TXN1059,2026-07-07,30290,SETTLED,BNK1059
SET1137,TXN1137,2026-07-13,31320,SETTLED,BNK1137
SET1154,TXN1154,2026-08-05,5990,SETTLED,BNK1154
SET1145,TXN1145,2026-08-18,18180,SETTLED,BNK1145
SET1002,TXN1002,2026-08-08,3960,SETTLED,BNK1002
SET1088,TXN1088,2026-07-14,28850,SETTLED,BNK1088
SET1016,TXN1016,2026-08-11,17980,SETTLED,BNK1016
SET1185,TXN1185,2026-08-18,2590,SETTLED,BNK1185
SET1108,TXN1108,2026-08-16,16520,SETTLED,BNK1108
SET1151,TXN1151,2026-07-11,32160,SETTLED,BNK1151
SET1026,TXN1026,2026-07-02,1080,SETTLED,BNK1026
SET1114,TXN1114,2026-08-05,25950,SETTLED,BNK1114
