invoice_id,customer_id,invoice_amount,invoice_date,invoice_status
INV1134,CUST046,28000,2026-07-22,PAID
INV1192,CUST014,33620,2026-07-15,PAID
INV1108,CUST037,16520,2026-08-12,PAID
INV1201,CUST012,35160,2026-08-08,UNPAID
INV1121,CUST053,2340,2026-07-04,PAID
INV1101,CUST074,12840,2026-07-16,PAID
INV1010,CUST027,42400,2026-08-07,PAID
INV1114,CUST061,25950,2026-08-02,PAID
INV1093,CUST053,35600,2026-07-28,PAID
INV1173,CUST045,6880,2026-08-22,PAID
INV1087,CUST087,8500,2026-08-13,PAID
INV1163,CUST057,1160,2026-07-02,PAID
INV1084,CUST004,14430,2026-08-28,PAID
INV1006,CUST046,3320,2026-08-19,PAID
INV1122,CUST064,13340,2026-08-25,PAID
INV1030,CUST008,3280,2026-07-24,PAID
INV1162,CUST039,6000,2026-07-26,PAID
INV1088,CUST056,28850,2026-07-08,PAID
INV1002,CUST012,3960,2026-08-02,PAID
INV1022,CUST073,6400,2026-08-28,PAID
INV1112,CUST011,34160,2026-08-07,PAID
INV1056,CUST043,6890,2026-08-29,PAID
INV1020,CUST078,1750,2026-07-08,PAID
INV1039,CUST075,4780,2026-08-04,PAID
INV1086,CUST006,12020,2026-07-22,PAID
INV1185,CUST018,2590,2026-08-17,PAID
INV1193,CUST040,4280,2026-08-16,PAID
INV1147,CUST016,44540,2026-07-27,PAID
INV1146,CUST051,6480,2026-08-19,PAID
INV1090,CUST032,40000,2026-08-17,PAID
INV1076,CUST029,12960,2026-07-16,PAID
INV1053,CUST021,1380,2026-08-18,PAID
INV1081,CUST006,750,2026-08-16,PAID
INV1099,CUST047,43200,2026-07-11,PAID
INV1138,CUST059,8260,2026-08-20,PAID
INV1018,CUST035,6830,2026-08-18,PAID
INV1168,CUST033,1750,2026-07-22,PAID
INV1029,CUST013,10800,2026-08-11,PAID
INV1156,CUST032,47190,2026-07-07,PAID
INV1085,CUST076,6670,2026-08-09,PAID
INV1005,CUST036,2260,2026-07-09,PAID
INV1097,CUST016,4890,2026-08-13,PAID
INV1070,CUST058,17180,2026-08-25,PAID
INV1136,CUST060,28370,2026-08-07,PAID
INV1096,CUST059,3010,2026-07-15,PAID
INV1036,CUST008,47940,2026-06-29,PAID
INV1188,CUST046,3750,2026-07-04,PAID
INV1004,CUST058,2780,2026-08-04,PAID
INV1113,CUST012,17530,2026-07-13,PAID
INV1131,CUST069,15270,2026-07-20,PAID
INV1091,CUST064,3160,2026-08-21,PAID
INV1026,CUST029,1080,2026-06-30,PAID
INV1049,CUST005,3520,2026-08-22,PAID
INV1153,CUST005,8560,2026-08-13,PAID
INV1176,CUST073,24650,2026-08-10,PAID
INV1110,CUST019,7720,2026-07-01,PAID
INV1126,CUST043,11180,2026-07-31,PAID
INV1009,CUST013,12430,2026-07-22,PAID
INV1202,CUST006,10270,2026-07-28,CANCELLED
INV1141,CUST078,3390,2026-08-19,PAID
INV1055,CUST052,19160,2026-07-17,PAID
