transaction_id,customer_id,invoice_id,transaction_date,amount,payment_status,payment_method,gateway_reference
TXN1134,CUST046,INV1134,2026-07-24,28000,SUCCESS,IMPS,GW1134
TXN1023,CUST061,INV1023,2026-08-30,37290,SUCCESS,IMPS,GW1023
TXN1123,CUST032,INV1123,2026-07-30,26250,SUCCESS,Card,GW1123
TXN1118,CUST060,INV1118,2026-07-27,8070,SUCCESS,Card,GW1118
TXN1082,CUST017,INV1082,2026-07-31,14240,SUCCESS,Netbanking,GW1082
TXN1161,CUST047,INV1161,2026-08-02,1390,SUCCESS,Card,GW1161
TXN1013,CUST073,INV1013,2026-08-26,8480,SUCCESS,IMPS,GW1013
TXN1111,CUST016,INV1111,2026-07-30,16460,SUCCESS,Card,GW1111
TXN1041,CUST002,INV1041,2026-07-30,1320,SUCCESS,Card,GW1041
TXN1119,CUST007,INV1119,2026-07-14,14000,SUCCESS,IMPS,GW1119
TXN1032,CUST057,INV1032,2026-08-21,41370,SUCCESS,UPI,GW1032
TXN1059,CUST056,INV1059,2026-07-05,30290,SUCCESS,UPI,GW1059
TXN1157,CUST043,INV1157,2026-08-19,49510,SUCCESS,UPI,GW1157
TXN1173,CUST045,INV1173,2026-08-24,6880,SUCCESS,Card,GW1173
TXN1077,CUST060,INV1077,2026-08-28,1540,SUCCESS,IMPS,GW1077
TXN1027,CUST043,INV1027,2026-07-05,29130,SUCCESS,IMPS,GW1027
TXN1181,CUST057,INV1181,2026-07-27,44740,SUCCESS,UPI,GW1181
TXN1122,CUST064,INV1122,2026-08-29,13340,SUCCESS,IMPS,GW1122
TXN1095,CUST048,INV1095,2026-07-31,33940,SUCCESS,Card,GW1095
TXN1180,CUST011,INV1180,2026-07-18,15850,SUCCESS,Card,GW1180
TXN1044,CUST039,INV1044,2026-08-29,19390,SUCCESS,UPI,GW1044
TXN1075,CUST049,INV1075,2026-07-31,10760,SUCCESS,IMPS,GW1075
TXN1063,CUST057,INV1063,2026-07-29,35510,SUCCESS,NEFT,GW1063
TXN1146,CUST051,INV1146,2026-08-24,6480,SUCCESS,UPI,GW1146
TXN1132,CUST009,INV1132,2026-07-16,2850,SUCCESS,IMPS,GW1132
TXN1038,CUST016,INV1038,2026-08-30,2520,SUCCESS,Card,GW1038
TXN1064,CUST066,INV1064,2026-08-12,3240,SUCCESS,Netbanking,GW1064
TXN1133,CUST057,INV1133,2026-07-11,2950,SUCCESS,RTGS,GW1133
TXN1189,CUST003,INV1189,2026-07-30,30260,SUCCESS,IMPS,GW1189
TXN1164,CUST080,INV1164,2026-08-10,16670,SUCCESS,Card,GW1164
TXN1129,CUST013,INV1129,2026-08-03,4240,SUCCESS,IMPS,GW1129
TXN1182,CUST045,INV1182,2026-07-28,42220,SUCCESS,Card,GW1182
TXN1008,CUST025,INV1008,2026-08-15,1070,SUCCESS,RTGS,GW1008
TXN1028,CUST017,INV1028,2026-08-16,8980,SUCCESS,IMPS,GW1028
TXN1138,CUST059,INV1138,2026-08-24,8260,SUCCESS,UPI,GW1138
TXN1148,CUST014,INV1148,2026-08-13,20820,SUCCESS,Card,GW1148
TXN1053,CUST021,INV1053,2026-08-20,1380,SUCCESS,IMPS,GW1053
TXN1152,CUST020,INV1152,2026-08-26,15730,SUCCESS,Card,GW1152
